analysisengin, uima, provid, return, licens, apach, distribut, file, asf, softwar, 
portugueselightstemfilterfactori, class=, solr, text_ptlgtstem, portugueselightstemfilt, analyzer&gt, lowercasefilterfactori, standardtokenizerfactori, filter, positionincrementgap=, 
disclaim, jacqu, follow, liabil, damag, holder, includ, stemmer, code, binari, 
portugueseminimalstemm, tokenfilt, stem, portugues, keywordattribut, setkeywordmarkerfilt, prevent, custom, tokenstream, appli, 
portugueseminimalstemfilterfactori, class=, solr, text_ptminstem, portugueseminimalstemfilt, analyzer&gt, lowercasefilterfactori, standardtokenizerfactori, filter, positionincrementgap=, 
et, rslp, al, portugues, monolingu, rslpstemmerbas, hoc, algorithm, studi, reduct, 
portuguesestemm, tokenfilt, stem, portugues, word, worst, keywordattribut, setkeywordmarkerfilt, stemmer, increas, 
portuguesestemfilterfactori, class=, solr, text_ptstem, portuguesestemfilt, analyzer&gt, lowercasefilterfactori, standardtokenizerfactori, filter, positionincrementgap=, 
line, 207, 194, r2, call, 195, liter, substr, delet, gopast, 
increment, phrase, stop, word, match, zero, token, posit, stem, remov, 
positionincrementattribut, increment, attribut, initi, posit, default, implement, licens, distribut, file, 
posit, splittingjoin, token, span, positionlength, produc, decompound, mani, natur, analyz, 
positionlengthattribut, attribut, initi, posit, length, default, implement, licens, distribut, file, 
span, record, util, posit, intern, class, licens, distribut, file, apach, 
output, fst, neg, long, non, experiment, implement, valu, licens, distribut, 
collector, collect, anoth, wrap, score, sure, make, implement, document, onli, 
termsenum#post, postingsenum, flag, enum, return, posit, offset, pass, payload, int, 
format, post, name, spi, segment, serviceload, classload, configur, regist, resolv, 
highlight, passag, snippet, field, maxpassag, topdoc, searcher, indexoptions#docs_and_freqs_and_positions_and_offset, queri, document, 
postingsenum, termstat, term, dict, postingswriterbase#encodeterm, blocktermsread, dictionari, postingsreaderwriterbas, impl, blocktreetermsread, 
post, term, long, metadata, monoton, written, defin, dict, fieldsproducerconsum, pointer, 
expon, rais, power, base, function, null, null, null, null, null, 
standardquerynodeprocessorpipelin, pipelin, preced, standardquerynodeprocessorpipeline#standardquerynodeprocessorpipelin, booleanmodifiersquerynodeprocessor, groupquerynodeprocessor, enabl, queryconfighandl, processor, extend, 
standardquerypars, standardqueryparser#standardquerypars, +c, +b, +a, +d&gt, parser, +d, standardquerynodeprocessorpipelin, queri, 
prefixawaretokenfilt, tokenattribut, attribut, link, behav, locat, correctli, analysi, custom, might, 
token, stream, suffix, last, offset, end, lastprefixtoken, prefix, tokenattribut, attribut, 
prefixcodedterm, term, store, repeatedli, packet, freez, prefix, del, iter, gen, 
analyz, sugg, suggest_field, completionqueri, queri, prefixcompletionquery#prefixcompletionqueri, prefix, term, term#field, bitsproduc, 
occur#filt, prefixqueri, booleanclaus, readabl, restrict, filter, claus, print, user, prefix, 
queri, born, prefix, automaton, unlimit, multitermquery#constant_score_rewrit, maxdeterminizedst, prefixqueri, readabl, term, 
cell, facet, count, leaf, shape, level, facetlevel, abstractvisitingprefixtreefilt, prefix, spatial, 
shape, precis, spatial, point, grid, strategi, scalabl, com, index, recursiveprefixtreestrategi, 
parser, prefixwildcardquerynod, special, abc, wildcardqueri, refactor, wildcard, processor, posit, probabl, 
prefixwildcardquerynod, prefixqueri, object, build, empti, constructor, licens, distribut, file, apach, 
statist, print, basic, open, reader, licens, distribut, file, apach, asf, 
messag, filetim, 8601, iso, timezon, printstream, millisecond, nice, infostream, altern, 
buildfacetclassesjava, facet, buildcoreclassesjava, print, trunk, lucene41, cp, tool, command, dimens, 
priorityqueu, sentinel, queue, element, heap, object, pq, top, null, maxsiz, 
product, compon, return, null, null, null, null, null, null, null, 
inord, distanc, sentence|paragraph|numb, field, claus, children, proxim, type, querynod, queri, 
payload, current, api, blocktermst, field, postingswriterbas, term, xml, true, analag, 
spatialprefixgrid, str, append, hilbert, spatialrel, i+1, curv, level, intersect, en, 
qualiti, judg, benchmark, queri, run, result, submiss, extract, qualityqueri, name, 
qualiti, +re, dir, index, +i+, directori, arg, benchmark, contain, suggest, 
pair, qualiti, id, qualityqueri, name, qualityquerypars, queri, valu, judgement, map, 
pars, qualityqueri, qq, queri, parseexcept, qualiti, lucen, fail, given, null, 
relev, rank, averag, qualitystat, point, stat, queri, recal, measur, return, 
queri, boost, boostqueri, primit, prefixqueri, termqueri, booleanqueri, scorer#freq, claus, span, 
indexread, stopword, queryautostopwordanalyz, identifi, percentag, maxdocfreq, word, stop, calcul, frequenc, 
filter, bore, remov, half, affect, quarter, field, doc, anoth, term, 
queri, cach, bitset, bitsetproduc, wrap, contain, result, anoth, per, segment, 
xml, simultan, object, safe, implement, pars, produc, stream, thread, multipl, 
querybuild, factori, licens, distribut, file, apach, asf, softwar, mai, see, 
collector#needsscor, lruquerycach, cach, accordingli, wrapper, around, equival, weight, will, score, 
cach, segment, polici, cacheonlargeseg, lruquerycach, filter, total, docidset, account, given, 
fieldconfig, queryconfighandl, listen, configur, field, object, name, ad, extend, fieldconfiglisten, 
trec, topic, qualiti, qrel, avarag, judg, util, run, tool, queri, 
unsupport, op, differ, now, licens, distribut, file, apach, asf, softwar, 
queri, size, wise, input, featur, behav, next, properti, creat, print, 
tagnam, node, tag, querynod, tree, child, convert, attach, queri, children, 
messag, nl, flexibl, throwabl, lang, querypars, error, nlsexception#getmessageobject, org, java, 
nl, querynod, messag, nlsexcept, deal, wrong, thrown, someth, happen, support, 
fld, node, tag, children, querynodeimpl, escapequerysyntax, querypars, field, core, default, 
q1, q2, node, head, andquerynod, querynod, children, child, null, defeat, 
begincolumn, column, problem, errortoken, pars, line, char, figur, abl, parser, 
tree, queryconfighandl, queri, associ, querynod, node, querynodeprocessor, process, collectionindex, implementor, 
node, postprocessnod, process, invok, queryconfighandl, children, querynod, querynodeexcept, tree, queri, 
queryconfighandl, pipelin, processor, object, node, int, list#add, collect, querynodeprocessor#getqueryconfighandl, queri, 
infix, quot, oper, 3w, subqueri, 2n, prefix, operand, token, reinitialis, 
resolut, queri, date, querypars, overridden, term, parseexcept, disallow, set, classic, 
regularexpress, id, lexic, liter, otherfilesgen#start, javacc, state, token, parser, constant, 
queri, processor, syntaxpars, tree, node, parser, queryconfighandl, querybuild, process, querynodeprocessor, 
string, bundl, static, nl, flexibl, regist, messag, properti, instanti, parser, 
assertqueryequ, blah, \\, asserthit, cjk, foo, querypars, individu, bar, resolut, 
lex, reinitialis, state, parser, lexer, token, liter, manag, switch, constructor, 
booleanclaus, flag, queri, field, defens, pars, occur, analyz, never, contents&quot, 
pass, queri, secondpassscor, hit, docid, score, match, sort, ascend, doc, 
highlight, weightedspanterm, queri, term, org, field, tokenstream, quasi, tfidf, expand, 
stylesheet, xml, environ, queri, precompil, fast, transform, templat, encod, mean, 
queri, extract, term, weightedterm, plu, prohibit, arrai, text, weight, idf, 
highlight, queri, fragment, org, lucen, javadoc, ideal, rewritten, search, term, 
exitabledirectoryread, exitabletermsenum#next, timeout, queri, process, stop, determin, whether, provid, base, 
time, timeallow, exit, nanosecond, exitabledirectoryread, epoch, elaps, nanotim, timeout, exceed, 
builder, node, associ, built, tag, class, tree, querytreebuild, querynodeexcept, name, 
indexsearch, no_more_doc, scorer, skip, check, confirm, advanc, beyond, reader, +q, 
filler, becaus, match, scorer, doc, functionvalu, doesn, document, hit, valuefil, 
match, date, week, createweight, constrain, querywrapperfilt, filter, cachingwrapperfilt, occur#filt, queri, 
4736, minut, patch, lucen, last, licens, distribut, file, apach, asf, 
quotedfieldquerynod, life, queri, great, posit, phrase, begin, string, noth, field, 
randomaccessfil, locat, path, io, directori, name, read, indexinput, randomaccessfile#read, 8192, 
directori, 1024, memori, ramfil, resid, megabyt, byte, million, mmapdirectori, environ, 
alloc, buffer, ramdirectori, size, concurr, expert, ram, might, stream, subclass, 
reach, buffer, left, resid, lazili, end, eof, indexinput, switch, place, 
post, id, fieldsconsum, todo, ram, bytesref, reus, ok, state, hashmap, 
buffer, output, last, name, content, indexoutput, resid, lazili, empti, byte, 
syntax, error, brk, rbbi, get, massiv, trace, addition, command, succe, 
rule, step, suffix, rslp, word, stem, pattern, list, min, bypass, 
object, align, size, byte, jvm, shallow, oop, arrai, return, refer, 
object, shallow, stack, accumul, refer, size, recurs, securityexcept, travers, inspect, 
posit, read, indexinput, given, datainput#readbyt, concept, intend, absolut, unlik, short, 
ordin, index, cardin, document, api, previous, access, sortedsetdocvalu, impact, support, 
live, matchingdoc, weight, bit, cost, doc, return, match, leafreadercontext, confirm, 
200, approxim, scorer, random, add, queri, licens, distribut, file, apach, 
rarer, simpletext, choos, map, postingsformat, format, shuffl, safeti, codec, make, 
facet, number, anyth, depth, dimens, certain, actual, random, rough, default, 
forcemerg, randomindexwrit, commit, gradual, config, bw, exponenti, random, schedul, flush, 
sometim, enum, 10%, indexopt, payload, termstat, term, seek, ord, save, 
sampl, bin, seed, matchingdoc, hit, facet, next, count, document, facetscollector, 
enabl, dfr, coord, ib, similar, todo, allsim, normal, basicmodelb, testsort, 
randomspatialopfuzzyprefixtreetest, prefixtre, prior, found, format, index, test, licens, distribut, file, 
grid, shape, geo, shapepair, cell, adjac, gridsnap, 12, dtest, biascontain, 
randomli, main, har, result, loop, havoc, truth, match, brute, spatialstrategi, 
divis, shape, datelin, easier, world, past, fail, 13rd, norm, randomizedtest, 
rang, drilldownquery#add, queri, drilldownqueri, effici, toward, numericrangequeri, valuesourc, fastmatchqueri, lead, 
rang, rangefacetcount, impl, facet, check, todo, document, total, option, subclass, 
drill, facet, brows, sec, rang, count, user, 2000, run, add, 
termrangefilt, builder, licens, distribut, file, apach, asf, softwar, mai, see, 
function, functionqueri, valuesourc, inclus, fall, target, whose, min, max, argument, 
termrangequeri, builder, licens, distribut, file, apach, asf, softwar, mai, see, 
querynod, interfac, rang, repres, queri, implement, licens, distribut, file, apach, 
field=, \nsnf, println, system, name, field, licens, distribut, file, apach, 
tree, leaf, 1024, rang, heap, numer, lucene54docvaluesformat, cell, disk, smaller, 
hang, dvformat, 6697, onto, ensur, clone, indexinput, load, concurr, dv, 
block, mani, minincl, estim, hit, valu, dup, block=, cell, leaf, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
leaf, point, heap, docid, innernodecount, mb, offlin, valu, long, tree, 
ratelimit, ratelimiter#getminpausecheckbyt, paus, rate, indexoutput, volatil, ve, call, cach, written, 
rate, paus, sleep, second, instantan, mb, time, io, nano, histori, 
mockdirectorywrapp, evil, realist, want, checkindex, deleg, thing, assert, still, directori, 
travers, highlight, task, hit, search, +1, ref, number, open, warm, 
token, dolog, reset, teardown, stream, stringread, volatil, setup, simpl, task, 
offlinesort, heap, awai, abstract, whether, arrai, simpl, ar, licens, distribut, 
directoryread, readermanag, indexwrit, appli, delet, low, io, ioexcept, error, level, 
slice, readerslic, subread, composit, reader, parent, sub, document, zero, id, 
searcherread, scan, match, context, last, arrai, element, tree, reader, less, 
updat, info, livedoc, seg=, writefieldupd, merg, reader, println, system, delet, 
kuromoji, attribut, data, read, null, case, note, valu, licens, distribut, 
kuromoji, attribut, data, read, licens, distribut, file, apach, asf, softwar, 
year, function, date, millisecond, yield, multipli, recent, 0+1, =0, reciproc, 
maxlevel, cell, leaf, shape, grid, prune, fyi, rpt, remov, recurs, 
block, recyclingbyteblockalloc, buffer, byte, maxbufferedblock, number, alloc, blocksiz, maximum, remov, 
block, recyclingintblockalloc, buffer, alloc, maxbufferedblock, number, int, blocksiz, byte, maximum, 
trie, restructur, remap, reduc, descript, object, egothor, paramet, optim, orig, 
refer, count, manag, hit, extens, object, call, overrid, decrement, attach, 
refresh, refer, thread, manag, referencemanag, resourc, ioexcept, close, call, acquir, 
syntax, automata, regexp, regular, enabl, flag, state, automaton, construct, maxdeterminizedst, 
regex, pattern, regular, regexqueri, implement, prefix, match, term, core, regextermsenum, 
regexcompletionquery#regexcompletionqueri, regular, bitsproduc, suggest_field, int, completionqueri, queri, syntax, term, g|b, 
regex, regular, regextermsenum, queri, regexcap, wish, regexpqueri, support, core, consid, 
regexcap, defin, regex, regular, instanc, core, queri, implement, support, method, 
enumer, term, regular, boostattr, searchterm, compareto, regex, text, preced, specifi, 
regexp, regular, featur, term, queri, flag, automaton, construct, maxdeterminizedst, automata, 
regexpquerynod, regexpqueri, queri, posit, regular, begin, string, field, repres, exampl, 
maxstat, queryparserbas, 10000, regexpqueri, object, reason, configur, build, empti, constructor, 
deletedquerynod, querynodeprocessorpipelin, node, matchnodocsquerynod, root, tree, everi, remov, empti, constructor, 
removeduplicatestokenfilt, term, seen, filter, token, tokenfilt, clone, previou, tokenstream, stream, 
removeduplicatestokenfilterfactori, class=, solr, text_rmdup, removeduplicatestokenfilt, analyzer&gt, whitespacetokenizerfactori, positionincrementgap=, fieldtype&gt, textfield, 
matchnodocsquerynod, children, querynod, processor, leaf, tree, node, groupquerynod, pipelin, modifierquerynod, 
failur, filefold, closeabl, attempt, onli, test, remov, given, licens, distribut, 
indexread, reopen, old, close, licens, distribut, file, apach, asf, softwar, 
report, statist, aggreg, task, none, detail, consid, side, effect, end, 
report, aggreg, name, task, proper, none, statist, side, effect, prefix, 
report, round, task, aggreg, statist, groupedaggreg, name, secondari, p2, group, 
report, aggreg, task, statist, name, secondari, p2, none, consid, side, 
round, report, task, groupedaggreg, name, secondari, p2, aggreg, proper, group, 
report, aggreg, name, task, perftask#tostr, secondari, p2, proper, none, statist, 
revis, replic, session, handler, thread, updat, directori, notifi, termin, stop, 
servlet, request, shard, action, context, servic, paramet, s1, replic, element, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
revis, client, session, sessiontoken, publish, updat, reclaim, longer, replic, string, 
server, port, jetti, properti, httpclientconnectionmanag, host, leverag, will, talk, connect, 
report, stat, textual, number, return, point, statist, total, line, repres, 
task, report, op, longest, longestop, tabl, stat, line, complet, titl, 
approxim, excl, scorer, req, reqscor, exclapproxim, advanc, exclud, skipto, match, 
scorer, score, skipto, option, part, optscor, reqscor, bs1, defer, match, 
topdoc, pass, rescor, topn, hit, score, indexsearch, firstpasstopdoc, searcher, queri, 
perftask#shouldnotrecordstat, wise, bytask, input, behav, benchmark, affect, task, reset, javadoc, 
eras, writersread, resetinput, nullifi, gc, index, statist, dir, clear, side, 
eras, indexdir, resetinput, nullifi, gc, doe, statist, clear, side, effect, 
resourc, name, type, expect, abstract, class, fix, handl, stream, load, 
resourceload, compon, initi, interfac, etc, load, provid, need, implement, class, 
rethrow, eh, uncheck, sneaki, ident, sometim, object, check, licens, distribut, 
analyzer#tokenstream, string, npe, enabl, prevent, reus, close, intern, reader, read, 
line, date, 1987, reuter, skip, contentsourc, 14, 36, 22, 87, 
wari, queri, unanalyz, devis, analyz, qs, pars, querymak, reuter, grant, 
revers, read, singl, byte, licens, distribut, file, apach, asf, softwar, 
uk, co, site, ok, domain, skip, hierarchi, fals, otherwis, like, 
revers, buffer, marker, input, charact, surrog, mark, suratfront, given, exampl, 
reversestringfilterfactori, solr, class=, text_rvsstr, reversestringfilt, analyzer&gt, whitespacetokenizerfactori, positionincrementgap=, fieldtype&gt, textfield, 
revis, replic, sourc, togeth, compris, guarante, indexinput, beween, well, singl, 
revis, sourc, multipl, denot, name, describ, allow, size, singl, contain, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
2^16, bit, 2^12, dens, block, spars, encod, short, buffer, invers, 
rollback, infostream, output, writer, close, wa, set, index, licens, file, 
po, nextpos=, nextpo, posit, pos=, println, system, grow, resetinit, fb, 
read, freed, buffer, nextpo, grow, absolut, println, po, system, ahead, 
stopword, analyz, stop, romanian, set, word, stem, default, tokenstreamcompon, setkeywordmarkerfilt, 
line, 47, gopast, 45, 92, 231, standard_suffix_remov, 33, 132, substr, 
row, cell, command, charact, patch, associ, given, number, refer, desir, 
state, automaton, determinist, dead, return, interv, codepoint, char, transit, getcharclass, 
suit, environ, test, print, diagnost, quot, hook, seed, reproduc, dkey=valu, 
stopword, word, stop, russian, analyz, set, default, tokenstreamcompon, unmodifi, analysi, 
russianlightstemm, tokenfilt, russian, stem, keywordattribut, setkeywordmarkerfilt, prevent, custom, tokenstream, appli, 
russianlightstemfilterfactori, class=, solr, text_rulgtstem, russianlightstemfilt, analyzer&gt, lowercasefilterfactori, standardtokenizerfactori, filter, positionincrementgap=, 
disclaim, follow, jacqu, liabil, damag, holder, includ, dolam, stemmer, code, 
line, liter, 209, delet, substr, 143, 115, 76, 206, 202, 
class, classpath, 2nd, load, initi, grand, parent, profil, serviceload, paramet, 
task, seq, programmat, top, sampl, matter, 1200, setparam, add, algorithm, 
entiti, mail, countri, dummi, annot, sens, practic, tag, certain, etc, 
tagger, speech, dummi, po, part, type, token, add, implement, licens, 
uima, dummi, sentenc, whitespac, token, base, get, add, implement, licens, 
min, scale, valu, +inf, function, max, expon, inf, distinguish, map, 
==, raksmorga, ao, oe, swedish, norwegian, ae, aa, fold, dane, 
class=, solr, scandinavianfoldingfilterfactori, scandinavianfoldingfilt, analyzer&gt, whitespacetokenizerfactori, positionincrementgap=, fieldtype&gt, textfield, fieldtyp, 
==, scandinavianfoldingfilt, swedish, fold, æÆäÄöÖøØ, blaabaarsyltetoej, danish, ao, oe, destruct, 
class=, solr, scandinaviannormalizationfilterfactori, scandinaviannormalizationfilt, analyzer&gt, miscellan, whitespacetokenizerfactori, positionincrementgap=, fieldtype&gt, textfield, 
scorer, score, collector, wrap, document, might, comput, hand, chang, success, 
scoredoc, indexsearcher#doc, construct, hit, topdoc, conveni, debug, document, hold, score, 
functionvalu, util, access, score, allow, class, licens, distribut, file, apach, 
score, child, parent, hit, averag, aggreg, sum, min, max, multipl, 
weightedfraginfo, markup, tag, score, posttag, fragmentsbuild, ti, arrai, startoffset, fragment, 
score, order, check, licens, distribut, file, apach, asf, softwar, mai, 
scorer, expressioncompar, valuesourc, context, kei, map, pass, contain, must, licens, 
fragment, tokenstream, score, highlight, scorer, call, continu, newfrag, token, init, 
scorer, indexsearcher#indexsearch, executorservic, bulkscor, search, indexread, searcher, getchildren, provid, leafcollector, 
booleanqueri, score, rewrit, multitermquery#setrewritemethod, toomanyclaus, booleanquery#getmaxclausecount, comput, method, term, translat, 
simscor, span, scoringwrapperspan, wrap, scorer, anoth, score, differ, new, creat, 
utr, abbrevi, uscript, numer, code, script, name, valu, constant, full, 
chinesejapanes, han+hiragana+katakana, wordbreak, 15924, han, japanes, cjk, chines, confus, subset, 
script, inherit, run, charact, holder, examin, text, uscript, person, surround, 
filter, charact, subset, incorpor, whitespac, queri, assert, return, test, lowercas, 
page, user, prompt, collect, execut, enough, search, demo, time, engin, 
group, groupvalu, println, shard, system, compet, group=, groupsort, abstractfirstpassgroupingcollector#gettopgroup, shard=, 
task, open, reader, reus, alreadi, otherwis, close, end, start, search, 
highlight, task, retriev, param, travers, super, mergecontigu, maxfrag, store, 10, 
task, travers, fieldvisitor, setparam, retriev, perftask#supportsparam, open, bc, bytask, 2005, 
travers, task, retriev, open, reader, record, side, effect, reus, count, 
task, retriev, param, travers, highlight, super, searchtravretvectorhighlight, maxfrag, fastvectorhighlight, store, 
task, perftask#supportsparam, open, bytask, reader, travers, benchmark, reus, javadoc, alreadi, 
collector, custom, sure, store, doe, search, check, make, doc, licens, 
nomaxscor, topfieldcollector, turn, track, present, search, maxscor, subject, type, sortfield, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
indexsearch, reader, warm, custom, javadoc, searcher, newli, new, previousread, indexread, 
searcher, tracker, mgr, indexsearch, record, pruner, search, prune, thread, user, 
searcherfactori, searcher, directoryread, searchermanag, warm, period, indexwrit, live, indexsearch, appli, 
decref, taxonomyread, indexsearch, tryincref, searcher, taxonomi, near, reader, fail, time, 
startoffset, token, map, offset, start, list, segtoken, segtoken#index, specifi, order, 
wordtyp, segtoken, sentenc, lang, origin, offset, text, java, charact, token, 
latin, width, segtoken, convert, lowercas, utility#common_delimit, punctuat, half, full, common_delimit, 
seggraph, lang, java, object#equ, object#hashcod, token, pair, second, index, object, 
updat, gener, fieldinfo, docvalu, delet, number, nextwritedelgen, deep, segment, return, 
core, segmentread, norm, codec, share, reader, ask, hold, cfsdir, fieldinfo, 
docvaluesproduc, gen, seginfo, refer, decrement, count, segmentread, held, cf, gener, 
fieldinfo, produc, updat, gen=, wrote, ref, allinfo, track, punch, docvalu, 
segment, codec, compound, delet, attribut, name, norm, segmentinfo, sortingmergepolici, written, 
segmentinfo, io, directori, segmentid, info, data, read, segment, occur, segmentnam, 
segments_n, commit, segment, segmentcommitinfo, segmentinfo, gener, directori, codec, delet, header, 
merg, corruptindexexcept, segment, low, io, ioexcept, error, level, corrupt, dir, 
segmentreadst, iocontext, segment, suffix, describ, directory#openinput, string, read, perfieldpostingsformat, post, 
segmentread, ensureopen, si, affect, core, commit, sr, reader, share, don, 
debug, targetupto, println, system, target, currentfram, seek, frame, term, validindexprefix, 
debug, block, println, system, nextent, target, fp, entcount, suffixbytesref, sub, 
suffix, segment, deletedupd, iocontext, docidupto, gener, segmentinfo, infostream, _x_y, fieldinfo, 
sentenc, breakiter, unambigu, break, buffer, segmenterbas, readfulli, exhaust, refil, safe, 
sentenc, 。，！？�, cr, hmmchinesetoken, lf, ch, punctuat, end, broken, token, 
kei, rehash, slot, hash, integ, set, emptyv, intern, 75%, hold, 
latin, cyril, charact, dj, bald, convert, serbian, diacrit, lowercas, expect, 
serbiannormalizationfilterfactori, class=, solr, haircut=, bald, serbiannormalizationfilt, analyzer&gt, lowercasefilterfactori, standardtokenizerfactori, filter, 
serbian, cyril, latin, lowercas, expect, normal, input, note, licens, distribut, 
merg, thread, mergeschedul, synchron, sequenti, sequenc, simpli, even, run, sole, 
shape, spatialstrategi, binarycodec, heurist, spatial4j, makeshapevaluesourc, lift, binarydocvalu, todo, design, 
distancestrategytest, sort, test, licens, distribut, file, apach, asf, softwar, mai, 
ioexception#ioexcept, throwabl, localreplicator#setexpirationthreshold, localreplicator#default_session_expiration_threshold, lack, expir, activ, revis, session, due, 
replic, session, replicator#releas, replicator#checkforupd, commun, acknowledg, therebi, id, string, server, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
keyword, mark, keywordattribut, keywordset, keywordattribute#setkeyword, via, termbuff, set, token, contain, 
object, alreadysetexcept, thrown, onc, set, call, setonce#set, semi, afterward, offer, 
properti, param, bytask, valu, benchmark, task, newroundtask, sequenc, cyclic, name, 
spatial4j, area, shape#getarea, isgeo, kinda, 2d, indirectli, part, ctx, geo, 
associ, shape, manner, docid, arraylist, ineffici, scale, extrem, warn, futur, 
shapefieldcacheprovid, point, distanc, shortest, spatial, valuesourc, document, input, return, intern, 
shapefieldcach, reconstruct, cach, leafread, given, built, shape, access, exist, iter, 
hand, side, shape, predic, valuesourc, objectv, shapevaluesourc, left, queryshap, right, 
node, collect, remot, wors, shard, searcher, score, stat, local, aquir, 
shingl, ngram, token, minshingles, size, shingleanalyzerwrapp, min, standardanalyz, max, output, 
shingl, queri, phrase, shingleanalyzerwrapp, implicitli, construct, score, adjac, contain, show, 
shingl, token, circular, input, stream, filler, unigram, sequenc, maxshingles, output, 
shinglefilterfactori, class=, solr, fillertoken=, outputunigrams=, analyzer&gt, shinglefilt, whitespacetokenizerfactori, positionincrementgap=, fieldtype&gt, 
wizard, purpl, hole, trail, leav, analyz, stopword, testbigramfilt, shingl, remov, 
mac, unpredict, directori, linux, server, develop, determinist, filenam, sort, seed, 
plane, evalu, point, side, vector, construct, normal, sidedplan, coord, plan, 
similar, score, queri, normal, boost, document, simweight, sloppi, weight, comput, 
basicstat, explan, float, score, frequenc, stat, subclass, norm, doclen, corpu, 
lettertoken, simpleanalyz, lowercasefilt, analyz, filter, new, creat, licens, distribut, file, 
bind, sortfield, simplebind, fieldcach, refer, sort, add, docvaluesfield, score, _score, 
valuesourc, boolfunct, function, boolean, wrap, invert, valu, extend, appli, includ, 
found, offset, illeg, start, boundari, avoid, scanner, fragment, divid, scan, 
rang, test, licens, distribut, file, apach, asf, softwar, mai, see, 
redeclar, collect, inherit, op, collector, method, context, sub, javadoc, befor, 
simplefsdirectori, path, locat, bytebuff, nio, descriptor, directori, thread, defens, name, 
lock, lockfactori, lockdir, effort, easili, best, someon, singleton, writer, try, 
drill, publish, facet, date2010, brows, user, run, author, count, exampl, 
fieldcompar, context, collect, befor, base, method, call, experiment, implement, licens, 
fieldfraglist#add, phraseinfolist, vectorhighlight, fieldfraglist, fragchars, endoffset, fragment, int, char, javadoc, 
float, function, argument, simpl, singl, null, null, null, null, null, 
fieldphraselist, fraglistbuilder#createfieldfraglist, vectorhighlight, fraglistbuild, fragchars, javadoc, simpl, org, non, search, 
2gram, ee, ed, speed, licens, distribut, file, apach, asf, softwar, 
fragment, size, highlight, charact, fragmenter#isnewfrag, org, concern, javadoc, lang, lucen, 
markup, tag, posttag, fragmentsbuild, arrai, constructor, pre, noth, post, sourc, 
with_positions_offset, 2gram, ee, aaa, termvector, snippet, trim, ed, speed, probabl, 
html, encod, 2005, escap, output, text, simpl, string, implement, licens, 
highlight, tag, b&gt, tokengroup, alloc, formatt, markup, stringbuild, lang, middl, 
unknown, infostream, dv, simplemergedsegmentwarm, warmer, warm, type, log, statist, structur, 
classifi, exp, smax, log, x_n, class, sum, term, word, input, 
4872, eventu, testcas, un, fallback, method, codec, exist, support, remov, 
xxxx, payload, po, simpl, filter, set, licens, distribut, file, apach, 
qualiti, indexfield, qualityqueri, qq, parser, pair, queri, benchmark, qualityqueryparser#pars, correspond, 
prepar, queri, singledocsourc, querymak, feed, bytask, analyz, benchmark, standard, extend, 
oper, phrase, subqueri, term1, term, found, charact, enabl, escap, queri, 
simplequerymaker#preparequeri, feed, bytask, vari, stuff, slop, benchmark, extract, phrase, revers, 
drill, year2010, facet, run, exampl, publish, user, aggregats, count, sortedsetdocvaluesfacetcount, 
queryscor, fragment, highlight, fragmenter#isnewfrag, org, javadoc, hit, sampl, score, lang, 
prefix, term, march, 2011, callback, remov, expand, befor, order, visit, 
lucenesubqueri, subqueri, weight, default, term, licens, distribut, file, apach, asf, 
plain, format, text, experiment, index, licens, distribut, file, apach, asf, 
toc, strip, compound, uniqu, scratch, cf, sort, order, awai, helper, 
space, 9+pattern, ord, length+maxlength, startoffset, numvalu, width, newlin, length, seek, 
segmentcoreread, scratch, println, system, ctor, utf8tostr, valid, verifi, state, newlin, 
pattern, pad, fit, simpletext, maxlength, length, ord, escap, dat, assert, 
info, plaintext, extens, field, format, experiment, licens, distribut, file, apach, 
skip, docsstart, println, system, naiv, ps, text=, better, utf8tostr, printstream, 
lazili, annoyingli, field+term, field, term, po, case, doc, zero, happen, 
readswrit, plaintext, read, live, experiment, doc, onli, licens, distribut, file, 
plain, dat, norm, len, extens, text, experiment, otherwis, normal, chang, 
curios, _n, post, codec, human, alter, readabl, text, edit, product, 
ifd, trip, plain, successfulli, ve, assert, els, onc, format, text, 
plain, format, text, store, experiment, field, licens, distribut, file, apach, 
fdx, entireti, offset, store, read, front, later, seek, clone, save, 
plain, text, store, experiment, field, licens, distribut, file, apach, asf, 
plain, vector, format, text, experiment, term, licens, distribut, file, apach, 
vector, reus, vec, tvx, todo, entireti, fieldnumb, offset, plain, like, 
plain, vector, text, experiment, term, licens, distribut, file, apach, asf, 
baseindexfileformattestcas, pad, checksum, care, zero, differ, byte, number, valu, licens, 
docdata, docid, time, call, document, new, creat, return, licens, distribut, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
reus, licens, distribut, file, apach, asf, softwar, mai, see, agreement, 
licens, distribut, file, apach, asf, softwar, mai, see, agreement, contributor, 
simplefragmentsbuild, fastvectorhighlight, singlefraglistbuild, weightedfraginfo, fraglistbuild, class, true, new, entir, content, 
